CarID,VIN,Model,TotalRentIncome,TotalRepairCost,NetProfit
8,VIN-TOYOTA-001,Camry,300.00,330.00,-30.00
9,VIN-BMW-002,X5,1350.00,450.00,900.00
10,VIN-HYUNDAI-003,Elantra,0.00,0.00,0.00
11,VIN-TOYOTA-004,Corolla,0.00,120.00,-120.00
12,VIN-SAIPA-005,Peraid,0.00,0.00,0.00
13,VIN-IRANKHODRO-006,Pezho,40.00,800.00,-760.00
14,VIN-DEMO-ALI-007,Demo Car,0.00,0.00,0.00
15,VIN-BENZ-008,C-Class,0.00,0.00,0.00
16,VIN-AUDI-009,Q5,550.00,30.00,520.00
17,VIN-KIA-010,Optima,220.00,100.00,120.00
18,VIN-FORD-011,Mustang,0.00,0.00,0.00
19,VIN-HONDA-012,Civic,0.00,0.00,0.00
20,VIN-HYUNDAI-013,Santa Fe,0.00,0.00,0.00
21,VIN-IRANKHODRO-014,206,75.00,180.00,-105.00
22,VIN-SAIPA-015,Tiba,0.00,0.00,0.00
